歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
『国摇』一百支乐队一百种精神信仰,256834399,浮梦沉生,介绍：国摇:作为曾经的“非主流”音乐摇滚的发展从来都是艰难的摇滚是一种音乐形式的反传统工具摇滚是一种音乐形式的反主流意识在先驱者披荆斩棘后逐渐演变成文化、精神、信仰各个乐队都在摇滚编年史中留下了属于自己的浓重一笔为以后的摇滚乐蓬勃发展奠定无比扎实的基础而每一支摇滚乐队都有它独特的精神信仰作为一名听众我们只需要聆听乐器的嘶吼与歌手的咆哮在他们所创造的意境之中追寻那抹精神那股信仰歌单:1.乐队:从最开始的发展到90年代的巅峰期再到21世纪，选取了各个年代具有代表性的乐队2.风格:各类摇滚风格子集均有选取3.选曲:乐队选曲方面，尽量选择乐队成名作4.因为歌单定义为摇滚乐队歌单由于简介字数限制，暂且只稍微介绍一些乐队歌单个别乐队介绍:做梦乐队:窦唯 1991-1992 该乐队寿命短暂，歌单收录歌曲（歌单前三首）有演出现场Ado乐队:崔健 1988-1989 Ado乐队成员协助崔健完成崔健的摇滚首专《新长征路上的摇滚》鲍家街43号:汪峰 1993-2000 “第一支科班出身的摇滚乐队” 以汪峰单飞为标志，乐队解散冷血动物:谢天笑 1994-2001 01年后更名为“谢天笑与冷血动物”1989乐队:臧天朔 刘君利1989年成立No乐队:左小祖咒 1993-1996 96年解散，之后重组呼吸乐队:高旗 曹钧 蔚华，高旗曹钧1988年成立，蔚华1989年加入，高旗91年离开，蔚华93年离开红色部队:陈劲 赵牧阳 1991-1991自我教育乐队:蒋温华(骅梓)苍狼乐队:腾格尔个别无法收录的乐队:五月天乐队:何勇 秦勇 张岭 刘峥嵘 蒋温华毒刺乐队:张楚 组建的乐队报童乐队:何勇 组建的乐队火药乐队:郑钧 组建的乐队新谛乐队:蒋温华组建的乐队飞乐队:许巍 1993-1994 《西边太阳》收录在《摩登天空1》喜欢国摇的朋友可以从几张专辑出发，发散开来，去真切的感受国摇的魅力，无论是摇滚老炮，还是国摇新星。如:《摇滚北京》《中国火》《中国原创摇滚》摇滚精神既是我成单的指南针，也是我生活的指南针我所理解的摇滚精神:生活没有排练，尽管尽情表演封面:做梦乐队,390,24743246,323963,3882,2034
国风戏腔：台下无故人，陈词唱悲观,290894929,执剑稳,介绍：苦酒折柳今相离，无风无月也无你，无见亦是无念！躲在梦与季节的深处，听花与黑夜唱尽梦魇，唱尽繁华，唱断所有记忆的来路，唱尽世间悲与欢。,27,27531,277,2,1
一个双子座的听歌列表,354868458,四川贫困人口,介绍：双子座的人喜爱变化，不可能同一时间只做一件事情，五时花六时变，心不在焉；虽然拥有些小聪明，但不专一，往往流于肤浅，持久力又低，成功很难，可以说是理性但不安的星座。,352,28808608,69033,22811,638
宝藏男声∣能和你牵手吹晚风嘛,1427891673,格林岛屿,介绍：搜集各类“新兴”优质男嗓.◎日常更新，一般都会放上层，看看又加入了哪些宝藏吧 ୧⍢⃝୨ps.封面会不定期更换,309,12438404,105846,1428,322
为生活投降的人 明天是你最好的模样 滚青入,383335179,肆玖音乐,介绍：你我何尝没有为生活投降过封面:荡失路专辑《为生活投降的人》@荡失路，在粤语里，是“走着走着走丢了”的意思。荡失路乐队，2019年于广州成立，成员包括小郭、三少（后于2021年离世）、大春、邓世伟等。音乐风格以独立摇滚和英伦摇滚为主轴，融合不同的音乐元素，务求精准表达自身的诉求与情绪；歌词则关注现代城市生活中基层年轻人的负重和迷惘，试图在冷漠的石屎森林缝隙中找寻一丝温情与感动。,132,50179,112,8,1
华语乐坛顶流·林俊杰 陈奕迅 李荣浩 薛之谦,3223389037,内啡肽_Fentany丨,介绍：愿你以渺小启程，以伟大结束。只要热情犹在，哪怕青春消逝 歌坛行走的CD机,411,1317,61,1,0
失恋日记｜您拨打电话正在通话中,354868458,四川贫困人口,介绍：成长是憧憬和怀念的天平，当它倾斜得颓然倒下时，那些失去了月光的夜晚，该用怎样的声音去抚慰,74,2324622,3785,3,4
明明就不喜欢牵手 为何却主动把手勾,1371974320,逃雪天,介绍：坚持下去，我们不可能什么都没有，但是也不可能什么都没有,375,6572923,38990,663,323
是雾的话迟早会散.,1453345703,_-爱在日出前,介绍：希望我们共勉 看更多更广阔的世界 而不是在鸡毛蒜皮中纠结脱不开身.（前六为推广）,195,10447442,94414,1320,850
夏夜晚风｜生为冰山，就该淡淡地爱海流,110877577,雾月情书,介绍：我会一直向前出发我会走得很远远过这些山丘远过这些大海直到靠近星星请保持对生活的热爱吧夏夜晚风永远不会停止浪漫的事物即刻发生～,35,165818,1037,11,6
听歌啊，有时候需要一些缘分,35354859,亲爱的猫哭,介绍：这个世界没有偶然，在一定的年纪，你会惊讶于命运的精准，清晰的看到每一个节点之间的联系，因此而会对人生与未来肃然起敬。,131,780721,5407,141,110
那些好听的女生翻唱,269520705,喜欢四又,介绍：不定时更新，谢谢收藏~提示：前几首有推歌。,171,4284712,26979,485,54
华语超好听的古风合集 （精选更新）,1468568012,陈穆泽,介绍：情不知所起一往而深未曾相见相知，却如此熟悉也许是缘定三生三世 再续前缘初赏人间烟火，愿能与君共伴月下舞,108,188582,1679,15,7
[民谣]携一把吉他，温三两故事，四海为家,1328538099,GT_Li,介绍：如果董小姐没有对宋冬野说晚安马頔从来都不认识舒傲寒唐尧忘记了北方女王赵雷也没有去过南方那故事又该怎样写呢活在民谣里的爱情让人感动地落泪可惜却给不了ta天长地久民谣没有声色犬马没有灯红酒绿有的只是四海为家各安天下民谣很穷一听就是一个故事。2018-10-15晚9点,320,15711046,135840,1806,239
暗恋心事丨过季的爱只剩酸涩,201586,原创君,介绍：请剥开我粗糙外壳察看我爱你的柔软心事/封面来自网络,27,158590,1005,21,16
始于脸红 终于眼红,1463489610,晚秋月色,介绍：故事不长 相识却爱而不得 求而不得 得非所爱“关于我们，故事也不长，也并不难讲，突如其来的相遇，始料未及的喜欢，猝不及防的再见，毫不留情的离场。喜欢一个人是藏不住的，大概，每个人都会遇到一个不能在一起的人，放手舍不得，坚持又太累，爱而不得时最煎熬。”听闻爱情 十有九悲 不如两清 做回甲乙丙丁“其实我比你更早知道我们不合适，我还是拒绝了所有比你更合适的人，陪你走了一段没有结果的路。”我开始庆幸 你出现在我输得起的年纪世界上最大的遗憾就是：隔着屏幕爱上了， 又隔着屏幕失去了你封面来自：一只李丸丸歌单会不定时更新，有推荐的欢迎私信哦,290,28770324,268201,3394,2438
流行rap×心动旋律的不完全记录,554690582,也半眠,介绍：当蓝玫瑰坠入克莱因海未曾谋面的也终将会相遇当满树樱花全部退为绿叶浪漫便藏起了花期,95,680117,6716,90,47
又是一年冬来临丨你相信重逢吗？,201586,原创君,介绍：那些没能相见的日子我都在期待重逢♡/封面来自网络,29,225656,929,14,45
生活就是我拔出耳机的喧嚣,201586,原创君,介绍：最近辛苦了戴上耳机躲避世界的喧嚣吧/封面来自网络,32,232120,1778,19,35
情歌300首｜总有一首情歌让你心酸,109390499,这条平凡的狗_QwQ,介绍：有人说：世界上唯有爱和咳嗽是藏不住的，可是失去的爱，需要拼命挽留的爱已经是难以愈合的伤疤，只能慢慢让它静静的带着，直到忘却，开始新的感情。高烧之后你体内又多了一份新的抗体，血液细胞也都换过一遍了，你也可以重新开始一段新的感情。,300,15806973,71798,1264,147
别急，甜甜的恋爱马上就轮到你了,44530116,名侦探-柯北,介绍：别急甜甜的恋爱马上就轮到你了单身的女孩不要着急也许上帝心里的想法是我要给这个可爱的女孩留个特别的男孩单身的男孩也不要着急也许上帝心里的想法是我要给这个帅氣的男孩找个优秀的姑娘等到恋爱的那一天把这些歌全唱给ta吧封面：李佳隆&恶恶,262,71196304,748975,15718,6483
民谣小酒馆 当孤独成为习惯,2118682115,月亮藏不住的小情绪,介绍：如果有来生，要做一棵树，站成永恒，没有悲欢的姿势。一半在土里安详，一半在风里飞扬，一半洒落阴凉，一半沐浴阳光，非常沉默非常骄傲，从不依靠 从不寻找。作者：三毛封面：房东的猫 王心怡,41,823475,4222,46,9
华语经典｜怀旧音乐时光机,1731886585,0000FF少抽烟,介绍：欢迎尊贵的你乘坐888号豪华时光机。准备好了吗?他将带你穿越回到过去的时空旅行，带你回味时光沉淀的那份美好熟悉旋律。青春在老歌中唤醒，承载着那个年代的甜蜜回忆...,153,2694245,14920,183,31
国风新潮贺岁｜共庆新年笑语哗,1301145614,青梅竹马的志田黑羽酱,介绍：愿新的一年 仍有阳光满路 温暖如初 在即将到来的新一年里 你依旧是我的盼头 把闲言碎语留给市井小人 你只管优雅从容心怀远方 新的一年才开始 好事会发生 温柔会发生 浪漫也是2023 愿我们都能奔赴更好的自己～,28,1645,14,0,1
华语‖一听就忍不住想哭的歌①,93983257,--苏麻离青--,介绍：【 你一听就 emo 的歌是哪一首？】《emo歌曲集》PS: 这个系列歌单已经有②和③还有『欧美』『日韩』部分了，如果你觉得没有某首歌，可以去那几个歌单先看看，都没有的话，可以在评论区留言哟～----更新于2022.6,122,40759164,523614,5239,2783
【单曲循环】女生一定要听的甜甜的歌,346769611,是你的顾柒柒_cc,介绍：歌单小更新：2022.12.1~甜到爆表~心情变好~生活其实很甜~虽然有时候会有阴天~但乐观的人会相信~彩虹就在眼前~让幸福和甜甜的歌于你相伴~每天都要甜甜的哦歌单会持续更新的哦〖收录华语/韩语/英文甜甜女生的歌〗歌单支持歌曲投稿，有好听甜甜的歌曲欢迎推荐，私信我或者写在评论区，我看到了就会回复的哦听从粉丝意见，把之前歌单删除的歌曲恢复了歌单近期更新时间：2022.10.29【又添加了一些新歌曲，快看看有没有你喜欢的吧】,329,17474420,168299,1826,1077
【古风致郁向】浮生一场梦，人间几度秋,98821129,-Abysm-,介绍：歌单使用说明：1、原封面图来源：新浪微博 @伊吹鸡腿子；现封面图来源：新浪微博@離城城城。 侵删。再问咬人。2、歌单名源自苏轼《西江月》：“世事一场大梦，人生几度秋凉。”即使心虚到原地爆炸我还是改了。为什么？因为我患有强迫症啊。3、小众个人单，喜欢就恭喜你，不喜欢还请出门左拐，前方世界广阔无际，祝你早日找到自己的幸福。4、请勿对比原唱翻唱版本，踩一捧一并不光彩。5、本单理解的致郁是指：多数人听着不开心，觉得曲风和歌词伤感。你觉得不致郁甚至听笑了什么的，是你自己虐点高，好事儿。6、本单适用于练字、坐车、抄写、整理、打扫时播放，多数为纯歌版无念白，耳机、公放皆可，顺序、随机皆宜。7、私信推荐自己原创流行曲、纯音乐、民谣和电子的大大们，如蒙青睐，不胜荣幸，谢谢你们一直不断地提醒我该开新单了。8、推歌随意，请走私信；直接分享，事半功倍。祝食用愉快，以上。,52,3652887,102964,782,472
【荷尔蒙催化剂】二十岁的人生坐上云霄飞车,398386335,我你爹奥,介绍：人永远都无法知道自己该要什么因为人只能活一次既不能拿它跟前世相比也不能在来生加以修正没有任何方法可以检验哪种抉择是好的因为不存在任何比较一切都是马上经历仅此一次不能准备迷途漫漫，终有一归——米兰-昆德拉《生命中不能承受之轻》,74,181400,930,11,10
你总要一个人，经历些难捱的日子。,129593031,mayuko然,介绍：我知道现在的你，很累经济拮据，感情成谜工作迷惘，生活平淡可是至少年轻未来的路还长你总要一个人经历些难捱的日子人情冷暖会令人失望也最让人深刻你要学着成长并且独自承担眼泪和抱怨无用情绪化只能添乱成年人的世界里游戏规则已了然除了遵循，别无他法我知道会受伤难过也会很懊恼会纠结害怕也会很抗拒都是必经阶段别忘了为何出发铭记最初的梦想是什么让你坚持又为何不想放弃走失的你烦躁的心抱怨不止若还一无所有并且一事未成先静下心努力把委屈咽下把泪水擦干加油，自己——履述先生封面摄影师微博：黑桃花椒,127,42829452,424669,6213,3686
8090年代港台经典老歌,443893337,chelife,介绍：8090年代的台湾香港，涌现出许多优秀的音乐人，也诞生了一些经典的歌曲。个人盘点了一下自己喜欢的老歌，希望你也会喜欢，一起来回味经典。,474,69362,474,5,0
华语经典电视剧主题曲集,443893337,chelife,介绍：经典的电视剧主题曲，听到这些弦律，就会想起那些情节……,162,4681,58,0,0
房东的猫 没有太多烦恼,343212903,Sachie-Fang,介绍：拥有美好的事物，没有太多烦恼就是想要的生活。,98,1965098,22477,194,50
2022网络爆火流行歌曲推荐（更新快）,610336824,芳心收集人士,介绍：希望，冬天的风是柔软的，街边音乐是柔软的，糖炒栗子甜味也很软，棉衣是柔软的，鱼丸在小锅里慢慢变得柔软，电影院的座椅是柔软的，你的手和怀抱都很柔软，而我要揣着柔软的心脏，去到那个柔软的未来，好梦。喜欢歌单的可以收藏关注不迷路哟好听到可以单曲循环鸭歌单持续更新中～,263,617403,3134,125,31
【华语民谣】无智亦无得，以无所得故。,311108066,永远ok丨,介绍：你来时冬至，但眉上风止。民谣酒馆时刻为你打开,25,18726,79,0,0
无暇不出°最好的歌只想给最爱的你~,201586,原创君,介绍：优质歌单无暇不出只给我最最喜欢的你听/封面来自@茶阿栗,40,152383,625,12,11
民谣有三样： 爱情，理想，远方。,287937556,常迷道故,介绍：“请你在春天到来的时候 轻轻歌唱 唱一首关于冬天的歌谣 漫漫长长 鸽子啊 我在你温暖的路上”,29,8396,42,0,2
100首经典华语电影主题曲,443893337,chelife,介绍：精选100首经典华语电影的主题曲，这些音乐响起时，有没有一些经典的电影画面，浮现在你的脑海里……,101,271270,1684,4,0
个人向 • 好听的古风歌曲,2118682115,月亮藏不住的小情绪,介绍：都是一些自己平常在听的歌，喜欢可以点个收藏。不定时更新,70,11090,87,2,4
浪漫摇滚｜我只想带你去无人海边,86621942,回忆哆啦没有A梦,介绍：又到了夏季啦！我认为，夏日是属于乐队和海边的，在夏天来临的时候，会有一支乐队，至少会有一首歌，能让你躁起来吧，哪怕只是跟着鼓点晃晃头，听着副歌伴奏欢呼。请尽情欣赏夏日乐队的浪漫美学，在这个夏天，躁起来，跟着音乐摇滚。,53,369590,3332,63,10
华语流行：满眼醉意，山河皆你,105595655,让梦感动你,介绍：春夏秋冬 希望每一天都有你不愿悲伤都留在你脑海不愿伤痛还残存在你心田 可能难过多了 有一天你就会遇见自己的快乐 然后剩下来的只有快乐 还会逞强吗 还会装作不在意吗 还要让自己坚强下去吗 累了就休息会吧我想要把你留在生命里 看见你我就很开心 很安心 你愿意和我并肩走过最难熬的时间吗 你相信只要两个人在一起什么都不是问题吗我可以拥抱你吗 我可以一直爱你吗不要脆弱的遇见一点事情就流眼泪没有人会在意你的难过 总有一个人会很爱你宠溺你 相信你 不质问你 不重伤你把你放在心中 时刻记着每个人都会有一段异常艰难的时光生活的压力 工作的失意 学业的压力爱的惶惶不可终日挺过来的 人生就会豁然开朗 挺不过来的 时间也会教你 怎么与它们握手言和 所以不必害怕的。,83,2203,11,0,2
